epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,22377,1.15617,0.78218,1.33588,0.75734,0.71165,0.77576,0.45441,1.06195,1.14487,1.11893,0.000230784,0.000230784,0.000230784
141,22534.5,1.15274,0.77344,1.33476,0.75887,0.70966,0.77552,0.4546,1.06257,1.13931,1.11972,0.000208169,0.000208169,0.000208169
142,22691.4,1.15152,0.7747,1.32902,0.75906,0.7108,0.77585,0.45467,1.06349,1.13492,1.12004,0.000187678,0.000187678,0.000187678
143,22848.9,1.14462,0.76861,1.32816,0.76056,0.7108,0.77608,0.45474,1.06386,1.12942,1.12054,0.00016932,0.00016932,0.00016932
144,23006.3,1.15262,0.77428,1.33466,0.75924,0.71119,0.77611,0.45477,1.06439,1.12574,1.12078,0.000153102,0.000153102,0.000153102
145,23165.2,1.14776,0.77522,1.32844,0.76286,0.70971,0.77666,0.45474,1.06501,1.12218,1.12148,0.000139032,0.000139032,0.000139032
146,23322.5,1.14236,0.76228,1.32874,0.76123,0.71013,0.77609,0.45504,1.06512,1.11906,1.12102,0.000127117,0.000127117,0.000127117
147,23480.1,1.13906,0.76438,1.32028,0.76189,0.71006,0.77643,0.45549,1.06565,1.11527,1.12149,0.00011736,0.00011736,0.00011736
148,23637.4,1.13297,0.75798,1.31835,0.76214,0.70997,0.7771,0.45556,1.06613,1.11246,1.12196,0.000109768,0.000109768,0.000109768
149,23794.9,1.13814,0.76312,1.32659,0.76657,0.70897,0.77713,0.45553,1.06673,1.10907,1.12229,0.000104342,0.000104342,0.000104342
150,23952.4,1.13647,0.76,1.32327,0.76622,0.70906,0.77697,0.45545,1.06712,1.10614,1.12275,0.000101086,0.000101086,0.000101086
